commit	candidate	status	exact_score	partial_avg	inline_avg	hybrid_avg	dominant_failure	run_dir	description
2c32dd3	candidate_0	keep	0/125 = 0.000	0.758	0.964	0.790	not_end_with_answer	/zfsstore/user/s4374886/omega/re-search/results/bamboogle/bamboogle_2026_04_12_20_56_research_qwen3_reasoning_base	baseline current prompt before new edits
2c32dd3	candidate_1	iterate	0/125 = 0.000	0.727	0.922	0.760	text_outside_tags	/zfsstore/user/s4374886/omega/re-search/results/bamboogle/bamboogle_2026_04_12_21_03_research_qwen3_reasoning_base	explicit incomplete-turn and no-early-stop rules before </answer>
2c32dd3	candidate_2	iterate	0/125 = 0.000	0.739	0.935	0.780	not_end_with_answer	/zfsstore/user/s4374886/omega/re-search/results/bamboogle/bamboogle_2026_04_12_21_09_research_qwen3_reasoning_base	limit each <think> to at most two short sentences
ad67db8	candidate_3	iterate	0/125 = 0.000	0.727	0.940	0.786	not_end_with_answer	/zfsstore/user/s4374886/omega/re-search/results/bamboogle/bamboogle_2026_04_12_21_16_research_qwen3_reasoning_base	after a tool_response arrives, require the next output to start with <think>
ad67db8	candidate_20260414_0	keep	0/125 = 0.000	0.593	0.647	0.670	missing_required_tool_turn	/zfsstore/user/s4374886/omega/re-search/results/bamboogle/bamboogle_2026_04_14_19_00_research_qwen3_reasoning_base	baseline current prompt before new edits
ad67db8	candidate_20260414_1	iterate	0/125 = 0.000	0.707	0.909	0.773	not_end_with_answer	/zfsstore/user/s4374886/omega/re-search/results/bamboogle/bamboogle_2026_04_14_19_03_research_qwen3_reasoning_base	force at least one search and require first post-think block to be tool_call
ad67db8	candidate_20260414_2	iterate	0/125 = 0.000	0.645	0.849	0.706	text_outside_tags	/zfsstore/user/s4374886/omega/re-search/results/bamboogle/bamboogle_2026_04_14_19_15_research_qwen3_reasoning_base	after tool_response require same-turn continuation with next token <think> and show one valid full trace
ad67db8	candidate_20260414_3	iterate	0/125 = 0.000	0.666	0.833	0.734	not_end_with_answer	/zfsstore/user/s4374886/omega/re-search/results/bamboogle/bamboogle_2026_04_14_19_20_research_qwen3_reasoning_base	clarify tool_response is runtime-inserted input and must be followed by resumed think
ad67db8	candidate_20260414_4	iterate	0/125 = 0.000	0.705	0.891	0.774	not_end_with_answer	/zfsstore/user/s4374886/omega/re-search/results/bamboogle/bamboogle_2026_04_14_19_25_research_qwen3_reasoning_base	forbid ChatML end tokens like <|im_end|> and <|endoftext|> in model output
ad67db8	candidate_20260414_5	iterate	0/125 = 0.000	0.661	0.816	0.732	missing_required_tool_turn	/zfsstore/user/s4374886/omega/re-search/results/bamboogle/bamboogle_2026_04_14_19_46_research_qwen3_reasoning_base	force exactly one search turn followed by one short post-tool think and final answer
ad67db8	candidate_20260414_6	iterate	0/125 = 0.000	0.678	0.837	0.744	not_end_with_answer	/zfsstore/user/s4374886/omega/re-search/results/bamboogle/bamboogle_2026_04_14_20_01_research_qwen3_reasoning_base	keep each think to one short sentence to reduce post-tool drift
ad67db8	candidate_20260414_7	iterate	0/125 = 0.000	0.695	0.867	0.765	not_end_with_answer	/zfsstore/user/s4374886/omega/re-search/results/bamboogle/bamboogle_2026_04_14_20_50_research_qwen3_reasoning_base	after tool_response continue same assistant message and do not wait for new turn
