commit	candidate	status	exact_score	partial_avg	inline_avg	hybrid_avg	dominant_failure	run_dir	description
4aed44e	candidate_1	keep	0/20 = 0.000	0.000	0.000	0.000	text_outside_tags	/zfsstore/user/s4374886/omega/re-search/results/bamboogle_base/bamboogle_2026_04_18_20_01_research_qwen3_base	escape literal JSON braces and switch to short exemplar-first completion prompt with Assistant: <think>
4aed44e	candidate_2	keep	0/20 = 0.000	0.103	0.043	0.074	text_outside_tags	/zfsstore/user/s4374886/omega/re-search/results/bamboogle_base/bamboogle_2026_04_18_20_05_research_qwen3_base	remove schema-heavy prose and use two bare tagged completion exemplars ending at Assistant:
4aed44e	candidate_3	iterate	0/20 = 0.000	0.035	0.014	0.025	text_outside_tags	/zfsstore/user/s4374886/omega/re-search/results/bamboogle_base/bamboogle_2026_04_18_20_07_research_qwen3_base	replace chat labels with raw Question/Trace blocks and line-separated tags
4aed44e	candidate_4	keep	0/125 = 0.000	0.206	0.086	0.148	text_outside_tags	/zfsstore/user/s4374886/omega/re-search/results/bamboogle_base/bamboogle_2026_04_18_20_18_research_qwen3_base	remove all chat labels and prose; use pure question-then-tagged-trace exemplars
4aed44e	candidate_5	iterate	0/125 = 0.000	0.090	0.038	0.065	text_outside_tags	/zfsstore/user/s4374886/omega/re-search/results/bamboogle_base/bamboogle_2026_04_18_20_19_research_qwen3_base	keep pure trace exemplars but remove newlines so question continues directly into <think>
4aed44e	candidate_6	iterate	0/125 = 0.000	0.070	0.029	0.050	text_outside_tags	/zfsstore/user/s4374886/omega/re-search/results/bamboogle_base/bamboogle_2026_04_18_20_21_research_qwen3_base	wrap questions in XML so the continuation path after the prompt ends at a closing tag and should prefer <think> next
4aed44e	candidate_7	iterate	0/125 = 0.000	0.011	0.005	0.008	text_outside_tags	/zfsstore/user/s4374886/omega/re-search/results/bamboogle_base/bamboogle_2026_04_18_20_23_research_qwen3_base	test raw ChatML exemplars so assistant continuation begins after <|im_start|>assistant
4aed44e	candidate_8	iterate	0/125 = 0.000	0.061	0.025	0.044	text_outside_tags	/zfsstore/user/s4374886/omega/re-search/results/bamboogle_base/bamboogle_2026_04_18_20_24_research_qwen3_base	best pure-trace prompt plus /think suffix on each question as a soft Qwen3 thinking cue
4aed44e	candidate_9	keep	0/125 = 0.000	0.226	0.094	0.162	text_outside_tags	/zfsstore/user/s4374886/omega/re-search/results/bamboogle_base/bamboogle_2026_04_18_20_26_research_qwen3_base	expand the best pure-trace prompt to five short exemplars to reinforce exact tag imitation
4aed44e	candidate_10	iterate	0/125 = 0.000	0.006	0.002	0.004	text_outside_tags	/zfsstore/user/s4374886/omega/re-search/results/bamboogle_base/bamboogle_2026_04_18_20_27_research_qwen3_base	five-exemplar pure trace prompt collapsed to one line per exemplar to reduce line-start prefix artifacts
4aed44e	candidate_11	iterate	0/125 = 0.000	0.037	0.015	0.026	text_outside_tags	/zfsstore/user/s4374886/omega/re-search/results/bamboogle_base/bamboogle_2026_04_18_20_30_research_qwen3_base	indent each tag line with one leading space so the model may emit whitespace instead of lexical prefixes before tags
4aed44e	candidate_12	iterate	0/125 = 0.000	0.009	0.004	0.007	text_outside_tags	/zfsstore/user/s4374886/omega/re-search/results/bamboogle_base/bamboogle_2026_04_18_20_38_research_qwen3_base	switch the best five-shot trace prompt into compact Q/A exemplars so A: always continues with <think>
4aed44e	candidate_13	iterate	0/125 = 0.000	0.131	0.055	0.094	text_outside_tags	/zfsstore/user/s4374886/omega/re-search/results/bamboogle_base/bamboogle_2026_04_18_20_42_research_qwen3_base	add Response: before each trace to separate question completion from tag imitation without using chat markup
4aed44e	candidate_14	iterate	0/125 = 0.000	0.224	0.094	0.161	text_outside_tags	/zfsstore/user/s4374886/omega/re-search/results/bamboogle_base/bamboogle_2026_04_18_20_44_research_qwen3_base	insert ### between each question and trace to mark the completion boundary without lexical label leakage
4aed44e	candidate_15	iterate	0/125 = 0.000	0.015	0.006	0.011	text_outside_tags	/zfsstore/user/s4374886/omega/re-search/results/bamboogle_base/bamboogle_2026_04_18_20_45_research_qwen3_base	use eight short repetitive exemplars with identical think phrases to maximize raw structure imitation
4aed44e	candidate_16	iterate	0/125 = 0.000	0.002	0.001	0.001	text_outside_tags	/zfsstore/user/s4374886/omega/re-search/results/bamboogle_base/bamboogle_2026_04_18_20_47_research_qwen3_base	put each exemplar trace inside an open xml code block and leave the final block open so completion continues literal markup
4aed44e	candidate_17	iterate	0/125 = 0.000	0.217	0.091	0.156	text_outside_tags	/zfsstore/user/s4374886/omega/re-search/results/bamboogle_base/bamboogle_2026_04_18_20_48_research_qwen3_base	prime the rare literal tag tokens once at the top, then keep the five-shot pure trace prompt unchanged
4aed44e	candidate_18	iterate	0/125 = 0.000	0.002	0.001	0.001	text_outside_tags	/zfsstore/user/s4374886/omega/re-search/results/bamboogle_base/bamboogle_2026_04_18_20_53_research_qwen3_base	repeat empty atomic tag skeletons before the best five-shot trace prompt to force literal tag-token reuse
4aed44e	candidate_19	iterate	0/125 = 0.000	0.000	0.000	0.000	text_outside_tags	/zfsstore/user/s4374886/omega/re-search/results/bamboogle_base/bamboogle_2026_04_18_20_56_research_qwen3_base	add a single leading space before only the first <think> line of each exemplar to encourage whitespace then literal tag emission
4aed44e	candidate_20	iterate	0/125 = 0.000	0.173	0.072	0.124	text_outside_tags	/zfsstore/user/s4374886/omega/re-search/results/bamboogle_base/bamboogle_2026_04_18_20_58_research_qwen3_base	switch to five short multi-hop exemplars in Bamboogle-like question style while preserving the exact tagged trace structure
4aed44e	candidate_21	keep	0/125 = 0.000	0.230	0.096	0.165	text_outside_tags	/zfsstore/user/s4374886/omega/re-search/results/bamboogle_base/bamboogle_2026_04_18_21_00_research_qwen3_base	extend the best pure-trace prompt from five to seven ordinary factual exemplars without adding any new formatting cues
4aed44e	candidate_22	iterate	0/125 = 0.000	0.226	0.094	0.162	text_outside_tags	/zfsstore/user/s4374886/omega/re-search/results/bamboogle_base/bamboogle_2026_04_18_21_01_research_qwen3_base	extend the same pure-trace family to nine ordinary factual exemplars to test whether more tag exposure keeps helping
4aed44e	candidate_23	iterate	0/125 = 0.000	0.228	0.095	0.164	text_outside_tags	/zfsstore/user/s4374886/omega/re-search/results/bamboogle_base/bamboogle_2026_04_18_21_03_research_qwen3_base	keep seven-shot count but swap the last two exemplars to test whether the lexical mix of extra examples affects the boundary token choice
4aed44e	candidate_24	iterate	0/125 = 0.000	0.228	0.095	0.164	text_outside_tags	/zfsstore/user/s4374886/omega/re-search/results/bamboogle_base/bamboogle_2026_04_18_21_04_research_qwen3_base	compress the best seven-shot family to ultra-short think bodies like Need year and Have year
